term,indicator,glossed_as,page,pre_context,post_context
contrarie,of,bij weeder ontdekking van diergelijke,#+ NL-HaNA_1.04.02_10026_0426.xml,bij bevinding van het,"bij weeder ontdekking van diergelijke minwigtige baalen, als geweest Fortifikatie"
lb:,of,6 5/8 p:r Co ruiim,#+ NL-HaNA_1.04.02_10026_0426.xml,is ontwaart van 191.,6 5/8 p:r Co ruiim het te kort koomende dat
weigering,of,Langsboord niet genoegzaam met matten,#+ NL-HaNA_1.04.02_10026_0429.xml,inwaatern alzoo teegens de,"Langsboord niet genoegzaam met matten en sappanhout voorzien geweest, en"
inwateren,of,"wel door de uijtwase, ming",#+ NL-HaNA_1.04.02_10026_0429.xml,"waaren g'infecteerd, door het","wel door de uijtwase, ming van het hout, daar dezelve"
Dan,of,schoon niet volkoomen aan ons,#+ NL-HaNA_1.04.02_10026_0430.xml,den 7. 8ber: 1780.,schoon niet volkoomen aan ons requi„ Landwetten Wij noteeren teffens
stuivers,of,om met andere woorden te,#+ NL-HaNA_1.04.02_10026_0436.xml,roulleerd voor 90. Indische,"om met andere woorden te spreeken, dat de indeling van"
recele,of,gelijk wij gewoon zijn te,#+ NL-HaNA_1.04.02_10026_0436.xml,staan moet met de,"gelijk wij gewoon zijn te spree„ ken, met de Nederlandsche"
onderzoeken,of,de geldspeetsien door ons wel,#+ NL-HaNA_1.04.02_10026_0438.xml,"worden gezonden, om te",de geldspeetsien door ons wel of kwee lijk bereekent en
wel,of,kwee lijk bereekent en uitgegeeven,#+ NL-HaNA_1.04.02_10026_0438.xml,de geldspeetsien door ons,kwee lijk bereekent en uitgegeeven zijn. wij hebben de eer
Ducato,of,Holland - 74 & 4,#+ NL-HaNA_1.04.02_10026_0438.xml,den 23. December 1790.,Holland - 74 & 4 /6 Vans P700 Vr N.
favor,of,the Compang I have only,#+ NL-HaNA_1.04.02_10026_0438.xml,to 7 lbt in,the Compang I have only to remark with all due
Ducatons,of,Holland 124 2 3/16 —,#+ NL-HaNA_1.04.02_10026_0438.xml,- 4 7/16 DoD,Holland 124 2 3/16 — Do— D 405 4 1/6
Letter,of,the 22d Ultimo; Shewe taken,#+ NL-HaNA_1.04.02_10026_0438.xml,In Answers to your,the 22d Ultimo; Shewe taken pooper lave to Ascentain the
Value,of,the Coins which you mention,#+ NL-HaNA_1.04.02_10026_0438.xml,to Ascentain the burrent,the Coins which you mention to have been disbus= sed
lieu,of,"Pegodes, au dit gives me",#+ NL-HaNA_1.04.02_10026_0438.xml,at vadions times in,"Pegodes, au dit gives me pleasure to be able to"
value,of,eachs of these boint opposed,#+ NL-HaNA_1.04.02_10026_0438.xml,weroffs to give the,eachs of these boint opposed to the 100 Potlo Hovo
eachs,of,these boint opposed to the,#+ NL-HaNA_1.04.02_10026_0438.xml,give the value of,these boint opposed to the 100 Potlo Hovo Pagodes Corns:
approve,of,other terms laid before thems,#+ NL-HaNA_1.04.02_10026_0439.xml,that the they may,other terms laid before thems of passing there beint in
thems,of,passing there beint in this,#+ NL-HaNA_1.04.02_10026_0439.xml,other terms laid before,"passing there beint in this Country, their orders to that"
Ausount,of,his Highiness the Nabobs Revenuer,#+ NL-HaNA_1.04.02_10026_0439.xml,are cliefly remitted to,"his Highiness the Nabobs Revenuer from Twe- nelly to Madras,"
power,of,the Nas bobs Land regent,#+ NL-HaNA_1.04.02_10026_0439.xml,any time in the,the Nas bobs Land regent to lowen the Value of
Value,of,thee bursent boint in touse,#+ NL-HaNA_1.04.02_10026_0439.xml,regent to lowen the,"thee bursent boint in touse Degree which wei frequently practised,"
Agent,of,his Highness the Nabob of,#+ NL-HaNA_1.04.02_10026_0439.xml,servant /ligwoed:/ James Buchanan,his Highness the Nabob of the Carnatick M Mechers Esqr.
Nabob,of,the Carnatick M Mechers Esqr.,#+ NL-HaNA_1.04.02_10026_0439.xml,of his Highness the,the Carnatick M Mechers Esqr. & & blief of Iutocosyn
blief,of,Iutocosyn Sir #+ --- Iutocosyn Sir #+ ---,#+ NL-HaNA_1.04.02_10026_0439.xml,Mechers Esqr. & &,Iutocosyn Sir #+ ---
pagooden,of,Ropije bij komen /:onder„ stond:/,#+ NL-HaNA_1.04.02_10026_0442.xml,"meer, wanneer er eenige",Ropije bij komen /:onder„ stond:/ Accordeert /:geteekend:/ G: A: Gra„
eenkomst,of,"bij optelling te trecken, wijl",#+ NL-HaNA_1.04.02_10026_0448.xml,dit bellent bij over„,"bij optelling te trecken, wijl de voorgestelde Moolen, uit minder"
vijf,of,zeeven omwentelingen in eene minute,#+ NL-HaNA_1.04.02_10026_0448.xml,binnen de grenken van,zeeven omwentelingen in eene minute Een weaktuigkundige kan geene veranderlijke
186.,of,744. ponden. Het beest dat,#+ NL-HaNA_1.04.02_10026_0449.xml,"vers bepaald op, 4.",744. ponden. Het beest dat aan de nieuwe kamit moolen
197.,of,voor een middel 168. ponden.,#+ NL-HaNA_1.04.02_10026_0449.xml,"omtrent, in het eerste",voor een middel 168. ponden. De geenen die Cijlinder moolen
1/8,of,1%/5 C/ 57 — %.,#+ NL-HaNA_1.04.02_10026_0450.xml,— 844 —. 26,1%/5 C/ 57 — %. /16. 2000 — 2000 —
1/18,of,de vergelijking vermenigvuldigt met 1,#+ NL-HaNA_1.04.02_10026_0450.xml,3. is de waarde,de vergelijking vermenigvuldigt met 1 3/18. Derhalven is &- Yt½
1074.,of,1075. X. — ( 107.,#+ NL-HaNA_1.04.02_10026_0451.xml,— 3/82: 1041. —,1075. X. — ( 107. 2/2. 1075. K5 — 2/324.
verwerpen,of,goed te keuren. tt geenen,#+ NL-HaNA_1.04.02_10026_0451.xml,"zijn, de Machine te","goed te keuren. tt geenen die werktuigkundige bereekeningen niet verstaan,"
hoogmoed,of,eigen liefde gezegt:/ voor een,#+ NL-HaNA_1.04.02_10026_0453.xml,nis teegens deese /:zonder,eigen liefde gezegt:/ voor een offisier van zo lang jarige
klijn,of,groot uitgehold word. dikte van,#+ NL-HaNA_1.04.02_10026_0459.xml,geheele boom het zij,groot uitgehold word. dikte van 5: a: 6: Cobidos. Dit
Kadoenberie,of,Riemhout word gebruikt tot Riem„,#+ NL-HaNA_1.04.02_10026_0459.xml,bij komt. „ 7,"Riemhout word gebruikt tot Riem„ houte voor sComp: schuiten, Labbenlots,"
seeke,of,Kiate Boomen tevinden in kompanies,#+ NL-HaNA_1.04.02_10026_0459.xml,overigens koste„ N:o 4,Kiate Boomen tevinden in kompanies aangeplante N:o 6. Horgas te
Kitoelgas,of,Jagerboom groeijt in de thuijnen,#+ NL-HaNA_1.04.02_10026_0460.xml,zwerven gevonden worden. 15,Jagerboom groeijt in de thuijnen ter Dikte 9. Kalloewerke of
Kalloewerke,of,zwart Ebbenhout hier meede is,#+ NL-HaNA_1.04.02_10026_0460.xml,thuijnen ter Dikte 9.,zwart Ebbenhout hier meede is het geleegen als met het
halgas,of,salmarang in sComp:s N:o 32.,#+ NL-HaNA_1.04.02_10026_0461.xml,--- gebruikt gelijk de,salmarang in sComp:s N:o 32. Angelieke deese boom groeijt zo
Moenemal,of,"kaukien groeijen, meest in d'",#+ NL-HaNA_1.04.02_10026_0461.xml,voor 4 N:do 25.,"kaukien groeijen, meest in d' thuinen en doorgaans scheepsbouw en"
Woornangelieke,of,"Miandil uitge „zogt worden, wijl",#+ NL-HaNA_1.04.02_10026_0461.xml,ijzerhout gebruikt naam van,"Miandil uitge „zogt worden, wijl er verscheijde soorten van Au„"
sorteeningen,of,"schoon plaeten, klijne balken Etc=ta",#+ NL-HaNA_1.04.02_10026_0461.xml,Puaelen Muur„ De volgende,"schoon plaeten, klijne balken Etc=ta „ 38. Sappoe of Pauwfoele"
Sappoe,of,Pauwfoele groeijd in de thinnen,#+ NL-HaNA_1.04.02_10026_0461.xml,balken Etc=ta „ 38.,Pauwfoele groeijd in de thinnen tot de dikte van 2:
sapoe,of,Pauwfoele hout en is goed,#+ NL-HaNA_1.04.02_10026_0461.xml,alle huijstimmerwerk van het,Pauwfoele hout en is goed tot het zo meede tot
wijnig,of,niet te 40 Billigas groeijd,#+ NL-HaNA_1.04.02_10026_0461.xml,"worden, dog is hier",niet te 40 Billigas groeijd even gelijk de soerieer er
Nalie,of,water ijzerhout te vinden in,#+ NL-HaNA_1.04.02_10026_0462.xml,45 Beuelie 16. Die,water ijzerhout te vinden in de bossen der dikte 74.
wedde,of,waterminiele meest te vinden in,#+ NL-HaNA_1.04.02_10026_0462.xml,jiwoel „ 57. Na,waterminiele meest te vinden in de wattoerawes „ 87. kattoebedde
Ambegas,of,Mangesboom 7 groeijen in de,#+ NL-HaNA_1.04.02_10026_0463.xml,zeer goede houtskool. 106.,Mangesboom 7 groeijen in de thuinen zo wel als in
Tienije,of,Duijfhout groeijt in de bossin,#+ NL-HaNA_1.04.02_10026_0463.xml,hunne tijffermessen. „ 111.,Duijfhout groeijt in de bossin ter dikte van 2: a:
aftebrengen,of,N:o 100. Moeroettoe schoon wat,#+ NL-HaNA_1.04.02_10026_0463.xml,om andere zinkende houtwerken,N:o 100. Moeroettoe schoon wat beter als de boven staende
Moekoettoe,of,Moertegas in de dessavonie van,#+ NL-HaNA_1.04.02_10026_0463.xml,vergeleeken worden m het,Moertegas in de dessavonie van Ma het tot andere huisdiensten
kadoemberis,of,Riemhout 20. / kalloewewe of,#+ NL-HaNA_1.04.02_10026_0464.xml,/ kalmender 19. ),Riemhout 20. / kalloewewe of Ebbenhout 21. / koem„ „boek.
kalloewewe,of,Ebbenhout 21. / koem„ „boek.,#+ NL-HaNA_1.04.02_10026_0464.xml,of Riemhout 20. /,Ebbenhout 21. / koem„ „boek. 22: / Boeroette 23: Nendoen
sappoe,of,Paaufoele. 28. (soerier 29. ),#+ NL-HaNA_1.04.02_10026_0464.xml,) kieriewalla 27. ),Paaufoele. 28. (soerier 29. ) Beligas 30. / Damme„ „nieje
Liemoenboom,of,"gada „zaamhoud, dat niet ligt",#+ NL-HaNA_1.04.02_10026_0465.xml,54:) Attembegaha. 55. ),"gada „zaamhoud, dat niet ligt tot bederf of verrotting de"
bederf,of,verrotting de higas 56. Daare,#+ NL-HaNA_1.04.02_10026_0465.xml,dat niet ligt tot,"verrotting de higas 56. Daare Naamberange 57. / Dombe„ overgaat,"
aandroogte,of,nattig„ 58: ) Boogas 59.,#+ NL-HaNA_1.04.02_10026_0465.xml,het zij het zelve,nattig„ 58: ) Boogas 59. / Ariede 60:/ wallas:)/ konde„
modder,of,kalk daet aan „gas 62.,#+ NL-HaNA_1.04.02_10026_0465.xml,„heid bloot gesteld word.,kalk daet aan „gas 62. /. Hoenoekirille 63.: / kalletieje
Wiembela,of,"Ciniele Zomtijds Balken sluurplaeten, stukken",#+ NL-HaNA_1.04.02_10026_0465.xml,Tallan 78. Chelle 79:/,"Ciniele Zomtijds Balken sluurplaeten, stukken deuk en venster Tammarijn boom"
Drijfhout,of,Tinieje 83 uriere zaam zijnde,#+ NL-HaNA_1.04.02_10026_0465.xml,"voor bruggen, „haloe 82.","Tinieje 83 uriere zaam zijnde tot be„ volderingen voorsComp sluisen,"
„bouw,of,"vatwerken niet geschikt. 5. Moertegas,",#+ NL-HaNA_1.04.02_10026_0466.xml,"tot Balken, praalen, muur,","vatwerken niet geschikt. 5. Moertegas, groeijt inde hoogte van 10"
kaloewerre,of,"Ebben„ „hout, kaddolmberie of Riemhout",#+ NL-HaNA_1.04.02_10026_0468.xml,"20. en 21. Kalmender,","Ebben„ „hout, kaddolmberie of Riemhout en koemboek, zijn boom zoorten"
kaddolmberie,of,"Riemhout en koemboek, zijn boom",#+ NL-HaNA_1.04.02_10026_0468.xml,"kaloewerre of Ebben„ „hout,","Riemhout en koemboek, zijn boom zoorten die eijgentlijk tot alle"
deese,of,als nog in sComp:s uishouding,#+ NL-HaNA_1.04.02_10026_0469.xml,ngemakkelijkheid t kosten om,als nog in sComp:s uishouding geen ge outzoort te sleepen
Sappoe,of,Pauwfoele en soerier groeijen zeer,#+ NL-HaNA_1.04.02_10026_0469.xml,soerienword 27. en 28.,Pauwfoele en soerier groeijen zeer weeldrig tot de hoogte van
een,of,twee Jaaren durven. 55: en,#+ NL-HaNA_1.04.02_10026_0471.xml,en zelder langer dan,twee Jaaren durven. 55: en 56. Limoen Boom of Gada
Boom,of,Gada de higasen Daare Worde,#+ NL-HaNA_1.04.02_10026_0471.xml,55: en 56. Limoen,"Gada de higasen Daare Worde gebruikt tot hand, koanberangaha dik"
Hiembela,of,"Tamarijnboom en ttiekgas, dik 5.",#+ NL-HaNA_1.04.02_10026_0471.xml,79. en 80. Chelle,"Tamarijnboom en ttiekgas, dik 5. â 6. kob:s en hoog"
Tinieje,of,Drijfhout dik 2. â: 3.,#+ NL-HaNA_1.04.02_10026_0472.xml,82. / sakkoehaloe en,Drijfhout dik 2. â: 3. en: hoog 15. â: 20.
zyn,of,die wagt= schip egter alleen,#+ NL-HaNA_1.04.02_10026_0474.xml,Gale een Kayterlijke Aangeteekend,die wagt= schip egter alleen van den 9 tot den
blyken,of,by Aan= =weeren van het,#+ NL-HaNA_1.04.02_10026_0474.xml,ter Secreta= =nye aldaar,by Aan= =weeren van het schip de Theincian aldaar eenig
optegeeve,of,de touwen waar voor skomp.:s,#+ NL-HaNA_1.04.02_10026_0476.xml,last zijnde om naader,de touwen waar voor skomp.:s scheepen in dese baaij vertrugd
over,of,"het niet wel raadsaem is,",#+ NL-HaNA_1.04.02_10026_0477.xml,aan uwelEdele achtb oordeel,"het niet wel raadsaem is, en zoude zyn, om bij"
nagegaan,of,de kaijer touwen die hier,#+ NL-HaNA_1.04.02_10026_0478.xml,Meester zoo veel moogelijk,de kaijer touwen die hier tans geslaagen worden niet door
nagegaen,of,ik in de vroege be,#+ NL-HaNA_1.04.02_10026_0481.xml,De ondergeteekende heeft ook,ik in de vroege be Jaeren alhier klijn touwerk uit
opgaave,of,aan thooning waar bij bekend,#+ NL-HaNA_1.04.02_10026_0488.xml,wijl hem ontbreekt een,"aan thooning waar bij bekend moet staan, wat togten die"
zeilen,of,er nieuw vertrekt en wel„,#+ NL-HaNA_1.04.02_10026_0488.xml,"vaartuijgen gedaan hebben, welke","er nieuw vertrekt en wel„ ke dat er gerepareerd sijn,"
oordeelen,of,"en verstrekkingen onnodig gedaan sijn,",#+ NL-HaNA_1.04.02_10026_0489.xml,met grond te kunnen,"en verstrekkingen onnodig gedaan sijn, dan wel of er te"
wel,of,"er te veel opgebragt is,",#+ NL-HaNA_1.04.02_10026_0489.xml,"onnodig gedaan sijn, dan","er te veel opgebragt is, wijl tijd en gelegenheid in"
gevisiteerd,of,dien Bodem de Reijze met,#+ NL-HaNA_1.04.02_10026_0491.xml,Elact a nauw„ „keurig,dien Bodem de Reijze met ge„ „ruitheid na Europa zal
wijten,of,vergsters te laaten in steede,#+ NL-HaNA_1.04.02_10026_0497.xml,ietem ook de Glase,vergsters te laaten in steede van aan„ voorsien met nieuwe
onder„,offe,cieren Bescheijden op 't E:,#+ NL-HaNA_1.04.02_10026_0497.xml,wij ondergeteekende opper en,cieren Bescheijden op 't E: O: J: Comp: schip Berkhout
steerd,off,dien Boodem de Rijze met,#+ NL-HaNA_1.04.02_10026_0501.xml,Exakl en naukeering Gec,dien Boodem de Rijze met getusthen zal kunnen onderneemen en
ontwaaren,of,dezelve daar mede de reijde,#+ NL-HaNA_1.04.02_10026_0504.xml,grooten mast om te,dezelve daar mede de reijde met gerustheid na Europa zoude
gepasseert,of,"Colombo, door de officcieren van",#+ NL-HaNA_1.04.02_10026_0508.xml,Een beEedigde verklaering is,"Colombo, door de officcieren van boven gem: bodem. In 't"
vier,of,vijf voeten boven het Ezelshoofd,#+ NL-HaNA_1.04.02_10026_0514.xml,3 April passeere steng,vijf voeten boven het Ezelshoofd met de hoofden grootesteng mooij
wisselvallig,of,het te krijge zoude zijn,#+ NL-HaNA_1.04.02_10026_0520.xml,en als dan nog,"het te krijge zoude zijn of niet, den 8t: ligte"
zijn,of,"niet, den 8t: ligte met",#+ NL-HaNA_1.04.02_10026_0520.xml,het te krijge zoude,"niet, den 8t: ligte met den dag het ansher en"
zien,of,dat vaartuijg met een loose,#+ NL-HaNA_1.04.02_10026_0520.xml,te ontdekken en te,dat vaartuijg met een loose dan wel met een ander
planken,of,3 d=m swalpen. 30: „,#+ NL-HaNA_1.04.02_10026_0521.xml,„ batew: Groote tinkande,3 d=m swalpen. 30: „ dertig „ maltab: tekke planken
dekken,of,de gebreeken min of meer,#+ NL-HaNA_1.04.02_10026_0521.xml,men nader kunnen ont„,"de gebreeken min of meer zouden zijn, en wanneer de"
min,of,"meer zouden zijn, en wanneer",#+ NL-HaNA_1.04.02_10026_0521.xml,"dekken, of de gebreeken","meer zouden zijn, en wanneer de gebreeken meerder bevonden worden,"
mast,of,sloep voor Een twee mast,#+ NL-HaNA_1.04.02_10026_0522.xml,een vaertuig met een,sloep voor Een twee mast vaertuig. --ƒ 208. 10. —
zeil,of,valijken zeilen die 18. m:,#+ NL-HaNA_1.04.02_10026_0522.xml,„ Zeilgaken.. 2½. p=s,valijken zeilen die 18. m: „ 92: 4. 8. lang
geel,of,bruijn -- 3„ —„ 5.,#+ NL-HaNA_1.04.02_10026_0523.xml,meni en 4. lb:,bruijn -- 3„ —„ 5. 18. — 30. 2. —
sloep,of,andere een mast vaertuijg. ƒ,#+ NL-HaNA_1.04.02_10026_0523.xml,. . Voor een,andere een mast vaertuijg. ƒ 2502. 13. - - -
66.,of,- - - - „,#+ NL-HaNA_1.04.02_10026_0523.xml,indias maekt d=o 21.,- - - - „ 72. —. 8. Rand zoen
het,of,"Ceylon met dees onderhoorigheeden, neeg",#+ NL-HaNA_1.04.02_10027_0003.xml,gouverneur en Directeur van,"Ceylon met dees onderhoorigheeden, neeg „vens den Raad met het"
goud,off,zilver geld in kas moet,#+ NL-HaNA_1.04.02_10027_0011.xml,bedragen der assignatien en,"zilver geld in kas moet geteld worden, annen Een Coper"
twee,of,uitter„ lijk drie dagen na,#+ NL-HaNA_1.04.02_10027_0033.xml,"vroeg tijdig, dat het",uitter„ lijk drie dagen na den bepaalden emploijeeren Zijldag #+
erven,of,"gemagtigdens, tot den ontvangs ben",#+ NL-HaNA_1.04.02_10027_0041.xml,"aan de natemeldenen, hunne","gemagtigdens, tot den ontvangs ben we nog geen berigt, en"
Notaridele,of,geregtelijk gepasseerde Procuratie behoorlijk gekwalifi,#+ NL-HaNA_1.04.02_10027_0041.xml,zijn der„ bij eene,"geregtelijk gepasseerde Procuratie behoorlijk gekwalifi „ceerd zijnde, weder uijtgekeerd en"
geld,of,de ducaton van 78. met,#+ NL-HaNA_1.04.02_10027_0043.xml,"bedingen was, geld om",de ducaton van 78. met een remboursement van 78. stuivers
kas,of,bankgeld en ingevalle zulks in,#+ NL-HaNA_1.04.02_10027_0044.xml,van Anno 1793. in,"bankgeld en ingevalle zulks in laastgemelde spetie geschied, dan na"
Erven,of,"de gemagtig„ dens, tot den",#+ NL-HaNA_1.04.02_10027_0044.xml,"Bierbeurm te Amsterdam, de","de gemagtig„ dens, tot den ontvangst bij eene Notari„ eele"
eele,of,"geregtelijk gepasseerde Procuratie behoorlijk gequalificeerd,",#+ NL-HaNA_1.04.02_10027_0044.xml,ontvangst bij eene Notari„,"geregtelijk gepasseerde Procuratie behoorlijk gequalificeerd, voldaan te wor„ den, als"
goud,of,zilver geld in Cas moest,#+ NL-HaNA_1.04.02_10027_0045.xml,bedraagen der assignatien en,"zilver geld in Cas moest geteld worden, wijl zij niet"
goud,of,"zilver konden ver„ wisseld krijgen,",#+ NL-HaNA_1.04.02_10027_0045.xml,dit geld niet in,"zilver konden ver„ wisseld krijgen, zonder betaaling van een Zwaar"
Achtbaare,of,hoogst de„ zelven zomtijds zoo,#+ NL-HaNA_1.04.02_10027_0046.xml,schikking van uwelEdele Hoog,"hoogst de„ zelven zomtijds zoo goed zouden willen zijn, aan"
tromhoepen,of,vanden 123 „ een hondert,#+ NL-HaNA_1.04.02_10027_0053.xml,„ een hondert p=s,vanden 123 „ een hondert p=s tromreepen 20 - 100
spieren,of,onderpal„ men 40. - zegge,#+ NL-HaNA_1.04.02_10027_0053.xml,4. Zegge vier p=s,onderpal„ men 40. - zegge veertig p=s metselaars troffels 50.
ven,of,na uijtgediend verband repatri„ elden.,#+ NL-HaNA_1.04.02_10027_0057.xml,"geener, die Jaarlijks ster„",na uijtgediend verband repatri„ elden. voor verbeeterd #+ ---
neemen.,of,Munne Hoog Edelheeden nog„ tans,#+ NL-HaNA_1.04.02_10027_0061.xml,liever te doen.: onderhanden,"Munne Hoog Edelheeden nog„ tans mogten bevinden, dat het de"
voortestellen,of,"hoogst dezelven zouden kunnen, goedvinden",#+ NL-HaNA_1.04.02_10027_0061.xml,27. ' dezer nedrig,"hoogst dezelven zouden kunnen, goedvinden het overtelaaten aen partikulieren, zoo"
min,of,meer op de volgende voorwaar„,#+ NL-HaNA_1.04.02_10027_0061.xml,"liefhebbers kunnen gevonden worden,",meer op de volgende voorwaar„ den: Ps 8 naar #+
Zaaijvelden,of,"andere eindens, aan de g'interesseerdens",#+ NL-HaNA_1.04.02_10027_0063.xml,"zulke landen, aangelegd tot","andere eindens, aan de g'interesseerdens voor altoos in eijgen„ dom"
gemaakt,of,nog te maaken 8. Dat,#+ NL-HaNA_1.04.02_10027_0063.xml,de schikkin„ gen reeds,"nog te maaken 8. Dat na verloop van 20 Jaaren,"
ken,of,"andere onderneemingen, wat het zij,",#+ NL-HaNA_1.04.02_10027_0064.xml,en van de fabrie„,"andere onderneemingen, wat het zij, door hun in het voorsz:"
eijgendommen,of,"'er liefhebbers zullen gevonden, worden",#+ NL-HaNA_1.04.02_10027_0065.xml,"aangelegd, als hunne bezondere","'er liefhebbers zullen gevonden, worden om op de voorsz: wijze"
twee,of,uitterlijk drie dagen na den,#+ NL-HaNA_1.04.02_10027_0069.xml,vroeg tijdig dat 't,uitterlijk drie dagen na den bepaalden zijldag nog zoude kunnen
1791.,of,Hunne Hoog Edelheden hebben ont,#+ NL-HaNA_1.04.02_10027_0075.xml,van den 25:' Maart,Hunne Hoog Edelheden hebben ont lig brieve van den 23.
zijn,of,dat ten minsten van den,#+ NL-HaNA_1.04.02_10027_0080.xml,somtijdl maar pas gelost,dat ten minsten van den nieuwen aanbreng nog niets naamwaardigst
veel,of,wijnig in sComp:s dienst vereijscht,#+ NL-HaNA_1.04.02_10027_0081.xml,naar mate dat er,"wijnig in sComp:s dienst vereijscht word, ingerigt. We zullen niet"
twee,of,uitterlijk drie daagen na den,#+ NL-HaNA_1.04.02_10027_0089.xml,zoo vroegtijdig dat 't,uitterlijk drie daagen na den bepaalden zijl„ dag nog zoude
49.,of,nieuw 50 zijn gevraagd gewor„,#+ NL-HaNA_1.04.02_10027_0112.xml,en een vertier van,nieuw 50 zijn gevraagd gewor„ den waer ontrent den ondergetekende
scheepen,ofte,swaere Schad waar door te,#+ NL-HaNA_1.04.02_10027_0113.xml,ge bij verongelukking van,swaere Schad waar door te konnen in 't voort setten
negligentie,of,"pligt verzuim niet beschuldigt werde,",#+ NL-HaNA_1.04.02_10027_0121.xml,en de ondergeteekende van,"pligt verzuim niet beschuldigt werde, en hebbe wijders de hooge"
scheepen,ofte,swaare schaede waar door te,#+ NL-HaNA_1.04.02_10027_0123.xml,men bij verongelukking van,swaare schaede waar door te konnen in 't voort setten
alkander,ofte,onderzints zoo als convenant geagt,#+ NL-HaNA_1.04.02_10027_0142.xml,"sterkte, successive kort na","onderzints zoo als convenant geagt word, Plan tot den Optogt."
Oannoniers,of,Corporaals 36: Gemeene 32: gemeene,#+ NL-HaNA_1.04.02_10027_0144.xml,benoo„ 8: Bombardiers 12:,Corporaals 36: Gemeene 32: gemeene 4: smeeden }die nog al
Kuijtens,of,serpe. 8: Corposaals Jnlanders. 62:,#+ NL-HaNA_1.04.02_10027_0144.xml,wijse van Klewangs 100:,serpe. 8: Corposaals Jnlanders. 62: Hoofden Europeesen 50: Piekhouwelen 100:
pattroonen,of,10: een detachement van 36:,#+ NL-HaNA_1.04.02_10027_0144.xml,ieder op 120: serpa,10: een detachement van 36: koppen geteekend oppen â 12:
deelen,of,wel dat bij ieder kompenie,#+ NL-HaNA_1.04.02_10027_0145.xml,met Tapperolle uit te,wel dat bij ieder kompenie een vaste schafbaas voor„ „zien
Balies,of,Bakken. Aanmerkingen. Deeze grooten omslag,#+ NL-HaNA_1.04.02_10027_0147.xml,Soep Balies 160: Pet,Bakken. Aanmerkingen. Deeze grooten omslag van kombuijs goederen meenen wij
twee,of,hoogst drie ligter keetels voldoender,#+ NL-HaNA_1.04.02_10027_0147.xml,"zal, zouden denkelijk zulke",hoogst drie ligter keetels voldoender bevonden worden als de gewoone
onseeker,of,"het laeste zal kunnen gaen,",#+ NL-HaNA_1.04.02_10027_0151.xml,dog het is nog,"het laeste zal kunnen gaen, wijl het wat laat onderhanden"
zijn,of,dato ten minsten van den,#+ NL-HaNA_1.04.02_10027_0153.xml,somtijds maar pas gelost,dato ten minsten van den nieuwen aanbreng nog niets naamwaardigst
veel,of,wijnig in 's Comp=s dienst,#+ NL-HaNA_1.04.02_10027_0153.xml,t maate dat er,wijnig in 's Comp=s dienst vereijscht word. ingericht. we zullen
twe,of,uitter„ lijk drie dagen na,#+ NL-HaNA_1.04.02_10027_0159.xml,zo vroegtijdig dat het,uitter„ lijk drie dagen na den bepaelden Zijldag nog zoude
twee,of,uitterlijk drie dagen na den,#+ NL-HaNA_1.04.02_10027_0168.xml,vroeg tijdig dat 't,uitterlijk drie dagen na den bepaal„ den zijldag nog zoude
paardagen,of,te houden we hebben den,#+ NL-HaNA_1.04.02_10027_0169.xml,daar na uitterlijk een,"te houden we hebben den bedienden daarbij gelast, indien de"
sterven,of,na uitgediend verband repa trieeren.,#+ NL-HaNA_1.04.02_10027_0173.xml,"geener, die Jaar lijks",na uitgediend verband repa trieeren. zoo lange derhalven de nationale
zoldaten,of,de voet van ƒ 9.,#+ NL-HaNA_1.04.02_10027_0173.xml,lange derhalven de nationale,"de voet van ƒ 9. tot ƒ 13. verbeterd worden,"
,of,hoogst dezelven zomtijds mog„ ten,#+ NL-HaNA_1.04.02_10027_0175.xml,den 25. Maart. 1791.,"hoogst dezelven zomtijds mog„ ten goedvinden, hem van vlaanderen van"
onzeeker,of,'t laatst gemelde sch zal,#+ NL-HaNA_1.04.02_10027_0185.xml,dog 't is no,"'t laatst gemelde sch zal kunnen gaan, niet alleen om"
proef,of,het de heeren Majores mogte,#+ NL-HaNA_1.04.02_10027_0196.xml,#+ --- een,"het de heeren Majores mogte behagen, dat daar van Jaarlijks,"
waarmeede,of,anders met het verwagt wordend,#+ NL-HaNA_1.04.02_10027_0196.xml,"te rug te keeren,",anders met het verwagt wordend schip uit suratta wij aan
gedaan,of,om een mid del weg,#+ NL-HaNA_1.04.02_10027_0205.xml,in lan„ „ders onderzoek,om een mid del weg te vinden de duijkdaagen niet
het,of,looper van de visscherij met,#+ NL-HaNA_1.04.02_10027_0208.xml,dezelve twee maanden na,looper van de visscherij met de andere partij te verdeelen
staande,of,'t mogt gebeuren dat weederzeydsche,#+ NL-HaNA_1.04.02_10027_0210.xml,"getrokken, in de aan",'t mogt gebeuren dat weederzeydsche prinsipaalen daar in geen genoegen
aen,of,aen op de berichten dat,#+ NL-HaNA_1.04.02_10027_0214.xml,"kosten, zoo men mag",aen op de berichten dat daer meede smaande over het
veroeg,of,loet zullen decideeren wijl de,#+ NL-HaNA_1.04.02_10027_0214.xml,omstreeks Tansjour de verschillen,loet zullen decideeren wijl de overkomst van lord Cornwallis uit
zitten,of,meer ongelden te verspill tot,#+ NL-HaNA_1.04.02_10027_0215.xml,Aan als vooren. te,meer ongelden te verspill tot kosten van het ongelukkig Ben
